Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestOrderDoc,Chrome 98.0.4758.82,,,2022-02-04 15:04:40,2022-02-04 15:04:59,18.446s,PASSED
,,,,,,,
Test Cases/Flow_OrderDoc,Chrome 98.0.4758.82,,,2022-02-04 15:04:41,2022-02-04 15:04:59,18.084s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-04 15:04:41,2022-02-04 15:04:44,3.012s,PASSED
"navigateToUrl(""http://43.229.79.185/hmdev/#/login"")",Chrome 98.0.4758.82,,,2022-02-04 15:04:44,2022-02-04 15:04:51,6.444s,PASSED
"setText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_username""), ""00020"")",Chrome 98.0.4758.82,,,2022-02-04 15:04:51,2022-02-04 15:04:53,2.307s,PASSED
"setEncryptedText(findTestObject(""Order_Med/Page_HM Web/input_Welcome to HM Systems_password""), ""1lNO57yZFUU="")",Chrome 98.0.4758.82,,,2022-02-04 15:04:53,2022-02-04 15:04:53,0.453s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/button_Login""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:53,2022-02-04 15:04:54,0.424s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/span_IPD""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:54,2022-02-04 15:04:57,3.261s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/label_06 MS33""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:57,2022-02-04 15:04:58,0.878s,PASSED
"click(findTestObject(""Order_Med/Page_HM Web/div_29 xxxxHN 0019295 26012022 1720""))",Chrome 98.0.4758.82,,,2022-02-04 15:04:58,2022-02-04 15:04:59,0.787s,PASSED
